機種名,thumbnail_image_url,sub_image_url,メーカー名,機械割,導入開始日,機種概要
パチスロOVERLORD絶対支配者光臨Ⅱ,https://p-town.dmm.com/upload/machines/4304/image.jpg?t=1673432389,,オーイズミ（メーカー公式サイト）  オーイズミの掲載機種一覧,97.6% 〜 112.0%,2023/03/20(月),通常時はタイムアクセラレーターでCZを強化しつつ、レア役やゲーム数消化で突入するCZクリアからAT突入を目指すゲーム性。CZごとに設定された対応役を引けるかが成功のポイントだ。  ATは1セット20〜40G＋α、1Gあたりの純増は約2.7枚。ベルやレア役で敵にダメージを与えていき、勝利できれば報酬を獲得して次のバトルへ突入する。仲間参戦やスキル発動など、戦況を有利に進める要素も搭載されているぞ。バトル開始時に決まる報酬ランクで勝利時の報酬が示唆されているので、上位報酬のタイミングで勝つこともロング継続への道と言える。最強特化ゾーン「死の軍勢」に突入すれば、期待度は最高潮！
キングハナハナ-30,https://p-town.dmm.com/upload/machines/4311/image.jpg?t=1674185260,https://p-town.dmm.com/upload/machines/4311/image.jpg?t=1674185260,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,97% 〜 110%,2023/03/20(月),新筐体「ベガ」に身を包み、“最光のハナハナ”がデビューする。  基本的なゲーム性はこれまでのハナハナと同様で、レバーON時にハイビスカスが点滅すればボーナス確定。チェリーの次ゲームはボーナスのチャンスだ。 新要素の真プレミアムバイブレーションをはじめ、多彩なプレミアム告知発生でBIG確定!!  ボーナスはBIGとREGの2種類あり、獲得枚数はそれぞれ最大260枚と最大120枚。BIG中のスイカ確率やREG中にビタ押しでスイカを揃えた際のサイドランプの色など、設定推測要素も健在している。ボーナス終了時は筐体上部に新設されたフェザーランプの色変化にも注目しておこう。
スロドル,https://p-town.dmm.com/upload/machines/4310/image.jpg?t=1674099662,https://p-town.dmm.com/upload/machines/4310/image.jpg?t=1674099662,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.8% 〜 110.5%,2023/03/20(月),人気女性ライター総勢8人が参加！  通常時は“いいね”を貯めてCZを目指す周期型のゲーム性で、“いいね”獲得の特化ゾーンもあり。CZは5G継続のバトル形式となっていて、リプレイやレア役を引けば勝利期待度がアップする。  CZ勝利後は特化ゾーンを経由してAT「スロドルフェスティバル」へ突入。ATは純増約3枚/G。差枚数・ゲーム数・ベルナビ回数・リプナビ回数といった多彩な上乗せが発生するのが大きな特徴だ。  ATが約80%でループする「カリスマモード」、完走の期待大となる「フェスティバルボーナス」、強力無比な「トップスターモード」など、大量出玉獲得に期待できるトリガーも数多く搭載されているぞ！
パチスロ機動戦士ガンダムユニコーン,https://p-town.dmm.com/upload/machines/4321/image.jpg?t=1677579559,,ビスティ（メーカー公式サイト）  ビスティの掲載機種一覧,97.7% 〜 108.1%,2023/03/06(月),パチンコでも好評の「機動戦士ガンダムユニコーン」がパチスロで登場する。  通常時はおもに内部状態を上げてレア役でAT当選を目指すゲーム性。スイカを契機に突入するCZ「バナージチャンス」や獣ミッションを経由しての「可能性の獣」など、AT当選契機は多彩に存在する。  AT「ユニコーンラッシュ」は純増約2.4枚/Gの、ゲーム数管理型。消化中はレア役などでゲーム数上乗せ・ミネバチャンスを抽選している。ボーナスや特化ゾーンのメイン契機となるミネバチャンスをいかに引けるかが、ロング継続につながる重要なポイント。AT終了後は必ず「可能性の獣」へ突入するので、自力引き戻しによるループにも期待できる。
戦国コレクション5,https://p-town.dmm.com/upload/machines/4294/image.jpg?t=1670318536,,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.8% 〜 110.1%,2023/03/06(月),純増約10枚/GのAT「異世界制覇ラッシュ」を搭載して、『戦国コレクション5』が登場！  通常時は毎ゲーム獲得するコレが規定数に到達するとAT確定。もちろん、コレ獲得の特化ゾーンも存在している。  ATは1セット20G＋αのシナリオ管理型。レア役でのゲーム数上乗せや7揃いで継続ストックを獲得して、出玉を増やすゲーム性だ。5セット目まではシナリオごとの継続率で抽選、6セット目からは継続率が約90%にアップした「スーパー異世界制覇ラッシュ」に昇格。エンディング後に移行する極楽モードは128コレ以内のAT濃厚かつ、シナリオ抽選や特化ゾーン抽選が優遇されるなど、魅力的な要素も詰め込まれている。
パチスロ盾の勇者の成り上がり,https://p-town.dmm.com/upload/machines/4292/image.jpg?t=1669878466,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.5% 〜 111.5%,2023/02/20(月),スイカを引いたら即高確（以上）、チャンス目を引けば即CZ突入など、前兆ナシで何かが起こる「ダイレクトリンクシステム」が大きな特徴。通常時はおもにCZを契機にATを目指す流れで、CZは前半10G＋αで期待度を上げて後半のバトルでATをジャッジ。期待度が100%に達すると上位CZの「聖邪決戦」へ移行する。  ATは純増2.6枚/G。5G＋αのSTパート「WAVE WAR」と10Gの「チェインストライク」をループさせるゲーム性で、「チェインストライク」中はボーナスや特化ゾーン当選のチャンス。  ST継続失敗後は引き戻しゾーン「FINAL SHOWDOWN」へ移行する。
パチスロ探偵オペラミルキィホームズR大収穫祭!!!!,https://p-town.dmm.com/upload/machines/4296/image.jpg?t=1670838953,https://p-town.dmm.com/upload/machines/4296/image.jpg?t=1670838953,カルミナ（メーカー公式サイト）  カルミナの掲載機種一覧,97.7% 〜 108.7%,2023/02/20(月),MIRACLEミルキィホームズBONUS（MMB）とミルキィホームズBONUS（MB）の2種類のボーナス（AT）で出玉を増やすゲーム性。MMBは500枚近い枚数を獲得できる点も魅力の一つと言える。  ボーナス消化後は100G＋α継続の「収穫祭」で、ボーナスのループを狙う。「収穫祭」中のボーナスはすべてMMBとなるのも特徴で、ループ期待度80%超の「大収穫祭」に突入すれば激アツだ。  前作でもおなじみの「ミルキィアタック」は今作にも搭載されていて、通常時やボーナス当選時など、さまざまなタイミングで発生。最大1000枚獲得可能な強力演出となっている。
パチスロ戦国無双3,https://p-town.dmm.com/upload/machines/4275/image.jpg?t=1667897903,https://p-town.dmm.com/upload/machines/4275/image.jpg?t=1667897903,山佐ネクスト（メーカー公式サイト）  山佐ネクストの掲載機種一覧,98.2% 〜 110.0%,2023/02/06(月),新たなゲーム数テーブルシステムと、セット継続率約96%の最上位AT「天下無双の傾奇インフィニティバースト」を搭載して、『パチスロ戦国無双3』が登場する。  通常時は規定刻数やレア役でボーナスを目指し、ボーナスからATを射止めるゲーム性。  AT「戦国RUSH」ではベルや武将対決で敵兵を全撃破できればボーナス＋次セットに継続する。AT継続時の一部で突入する天下無双への道をクリアすれば最強のAT「天下無双の傾奇インフィニティバースト」突入だ。
パチスロ緋弾のアリアⅡ,https://p-town.dmm.com/upload/machines/4298/image.jpg?t=1671438883,https://p-town.dmm.com/upload/machines/4298/image.jpg?t=1671438883,JFJ（メーカー公式サイト）  JFJの掲載機種一覧,97.6% 〜 110.1%,2023/02/06(月),6.5号機に風穴を開ける純増約9枚/Gの高純増ATを搭載して、『パチスロ 緋弾のアリアII』が登場する。  通常時は100G＋αの周期抽選タイプで、周期の最後に発生する連続演出をクリアすればCZ「クライマックスフェーズ」へ突入。CZは2つのバトルで構成され、2勝できればAT突入濃厚だ。通常時は全役でバレット獲得を抽選し、6個貯まると獲得するシューティングチャンスで、CZが有利になるアイテムを獲得できる。  ATは特化ゾーンからスタート。AT中はベル連やレア役で移行するCZをクリアして特化ゾーンへ突入という流れを繰り返すことで、ロング継続を目指すゲーム性になっている。  ※コンプリート機能搭載機
大花満,https://p-town.dmm.com/upload/machines/4299/image.jpg?t=1671529985,https://p-town.dmm.com/upload/machines/4299/image.jpg?t=1671529985,JPS（メーカー公式サイト）  JPSの掲載機種一覧,98.0% 〜 108.0% ※ 完全攻略時,2023/01/30(月),通常時は小役や規定ゲーム数消化でボーナスに当選。ボーナス告知時は基本的にリーチ目が出現する。  ボーナスはすべて擬似ボーナスとなっていて、超花満ボーナス、花満ボーナス、REGの3種類が存在。ボーナス中は1G連抽選がおこなわれ、カットイン発生時に陣ちゃん絵柄が揃えば1G連確定だ。また、小役によるポイント抽選もあり、MAXに到達すれば1G連が確定する。  ボーナス消化後は8Gの引き戻しゾーンへ突入。当該有利区間の差枚数が一定以下の場合、引き戻し期待度がアップする仕組みだ。
パチスロモンスターハンターワールド：アイスボーンTM,https://p-town.dmm.com/upload/machines/4253/image.jpg?t=1664860508,,エンターライズ（メーカー公式サイト）  エンターライズの掲載機種一覧,98.2% 〜 113.5%,2023/01/30(月),「月下雷鳴」の遺伝子を受け継ぎ、『パチスロ モンスターハンターワールド：アイスボーンTM』が狩猟解禁！ ぷちビンゴとレア役で突入するCZ／クエストからボーナスを目指すのが王道のルートであり、上位CZのアイルービンゴやセリエナ防衛戦など、ボーナスへの道は複数用意されている。狩猟ボーナスと剥ぎ取りチャンスのループで出玉を増やしていくお馴染みの流れで、仲間参戦やアイテム使用が討伐成功の鍵だ。ボーナス当選時の一部で突入する大連続狩猟は、ストックを消化せずにボーナスをストックできる特化ゾーン。討伐成功で大量の剥ぎ取りチャンスに期待できるムフェト・ジーヴァボーナスなど、強力なトリガーも搭載されている。
もっと！チバリヨ-25,https://p-town.dmm.com/upload/machines/4283/image.jpg?t=1669278778,https://p-town.dmm.com/upload/machines/4283/image.jpg?t=1669278778,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.9% 〜 107.6%,2023/01/10(火),もっとチバリヨが25Φでも登場する。  基本的なゲーム性はそのままに、天国モードは80%以上、超天国モードは85%以上、パトランプモードは92%と各連チャンモードのループ率がパワーアップしている。
SモモキュンソードDX,https://p-town.dmm.com/upload/machines/4272/image.jpg?t=1668417097,https://p-town.dmm.com/upload/machines/4272/image.jpg?t=1668417097,西陣（メーカー公式サイト）  西陣の掲載機種一覧,97.9% 〜 110.0%,2023/01/10(火),パチンコでも人気の『モモキュンソード』がパチスロになって登場。  約32G消化ごとにチャンスがやってくる周期抽選タイプとなっていて、桃のカケラを集めて憑依玉を獲得するほどCZの勝利期待度がアップする。CZは最大4戦あり、1勝でボーナス、2勝目以降は恩恵が昇格していく。ボーナスはベルナビ回数管理型で、ラストの真剣勝負（6択or全ナビ）に成功すればAT突入確定だ。  ATは特化ゾーンの「桃キュンアタック」からスタート。AT中はレア役などでのゲーム数上乗せやボーナス、特化ゾーンでゲーム数を増やしつつ、出玉増加を目指すゲーム性になっている。最強特化ゾーン「暴走バースト」の期待枚数は約1200枚と超強力…
沖ドキ！GOLD,https://p-town.dmm.com/upload/machines/4258/image.jpg?t=1666073799,,ユニバーサルブロス（メーカー公式サイト）  ユニバーサルブロスの掲載機種一覧,97.2% 〜 108.1%,2022/12/19(月),シリーズNo.1の出玉性能で、『沖ドキ！GOLD』が登場する。  基本的なゲームの流れはこれまでと共通で、告知が発生すればボーナス確定。天国以上のモードに移行していれば、32G以内にボーナスが連チャンする。期待枚数は天国が約1300枚、ドキドキが約2000枚、超ドキドキが約2600枚と超強力だ。  新要素である「金ドキモード」は、次回天国モード以上が確定する特殊なモード。連チャンモード終了時にも滞在する可能性があるので、天国→金ドキ→ドキドキのように、切れ目のない連チャンにも期待できる仕様となっている。
